14-02-16_12:17:55,el X,el Y,el Z,o X,o Y,o Z,net X,net Y,net Z,184.0
14-02-16_12:17:55,el X,el Y,el Z,o X,o Y,o Z,8.499481,-20.498749,14.999086,184.0
14-02-16_12:17:55,el X,el Y,el Z,o X,o Y,o Z,8.499481,-20.498749,14.999086,196.0
14-02-16_12:17:55,el X,el Y,el Z,1.936118E-4,-0.043599676,-0.29003796,8.499481,-20.498749,14.999086,196.0
14-02-16_12:17:55,0.034715924,1.8459295,10.425551,1.936118E-4,-0.043599676,-0.29003796,8.499481,-20.498749,14.999086,196.0
14-02-16_12:17:55,0.034715924,1.8459295,10.425551,1.936118E-4,-0.043599676,-0.29003796,8.499481,-20.498749,14.999086,192.0
14-02-16_12:17:55,0.034715924,1.8459295,10.425551,1.936118E-4,-0.043599676,-0.29003796,8.573712,-20.564732,14.974342,192.0
14-02-16_12:17:55,0.034715924,1.8459295,10.425551,1.936118E-4,-0.043599676,-0.29003796,8.573712,-20.564732,14.974342,186.0
14-02-16_12:17:55,0.034715924,1.8459295,10.425551,0.020433636,0.020316191,-0.026917635,8.573712,-20.564732,14.974342,186.0
14-02-16_12:17:55,0.035913024,1.9309237,10.409989,0.020433636,0.020316191,-0.026917635,8.573712,-20.564732,14.974342,186.0
14-02-16_12:17:55,0.035913024,1.9309237,10.409989,0.020433636,0.020316191,-0.026917635,8.833656,-20.814123,14.901442,186.0
14-02-16_12:17:55,0.035913024,1.9309237,10.409989,0.022564165,0.006467753,-0.0077428743,8.833656,-20.814123,14.901442,186.0
14-02-16_12:17:55,0.051475335,1.9069817,10.465055,0.022564165,0.006467753,-0.0077428743,8.833656,-20.814123,14.901442,186.0
14-02-16_12:17:55,0.051475335,1.9069817,10.465055,0.022564165,0.006467753,-0.0077428743,8.833656,-20.814123,14.901442,184.0
14-02-16_12:17:55,0.051475335,1.9069817,10.465055,0.022564165,0.006467753,-0.0077428743,9.221562,-21.217209,14.81997,184.0
14-02-16_12:17:55,0.051475335,1.9069817,10.465055,0.022564165,0.006467753,-0.0077428743,9.221562,-21.217209,14.81997,178.0
14-02-16_12:17:55,0.051475335,1.9069817,10.465055,0.013497965,0.013719008,-0.0025441179,9.221562,-21.217209,14.81997,178.0
14-02-16_12:17:56,0.0,1.9788077,10.3453455,0.013497965,0.013719008,-0.0025441179,9.221562,-21.217209,14.81997,178.0
14-02-16_12:17:56,0.0,1.9788077,10.3453455,0.013497965,0.013719008,-0.0025441179,9.221562,-21.217209,14.81997,180.0
14-02-16_12:17:56,0.0,1.9788077,10.3453455,0.013497965,0.013719008,-0.0025441179,9.602039,-21.613903,14.758784,180.0
14-02-16_12:17:56,0.0,1.9788077,10.3453455,0.013497965,0.013719008,-0.0025441179,9.602039,-21.613903,14.758784,178.0
14-02-16_12:17:56,0.0,1.9788077,10.3453455,0.003910586,0.0094579505,-0.011066233,9.602039,-21.613903,14.758784,178.0
14-02-16_12:17:56,-0.019153614,1.946486,10.425551,0.003910586,0.0094579505,-0.011066233,9.602039,-21.613903,14.758784,178.0
14-02-16_12:17:56,-0.019153614,1.946486,10.425551,0.003910586,0.0094579505,-0.011066233,9.602039,-21.613903,14.758784,172.0
14-02-16_12:17:56,-0.019153614,1.946486,10.425551,0.003910586,0.0094579505,-0.011066233,9.94489,-21.920765,14.7029,172.0
14-02-16_12:17:56,-0.019153614,1.946486,10.425551,0.003910586,0.0094579505,-0.011066233,9.94489,-21.920765,14.7029,176.0
