14-02-16_12:18:46,el X,el Y,el Z,o X,o Y,o Z,net X,net Y,net Z,14.0
14-02-16_12:18:46,el X,el Y,el Z,o X,o Y,o Z,11.665956,-12.165925,8.499481,14.0
14-02-16_12:18:46,el X,el Y,el Z,o X,o Y,o Z,11.665956,-12.165925,8.499481,26.0
14-02-16_12:18:46,el X,el Y,el Z,-0.30997038,-0.11345545,0.69879,11.665956,-12.165925,8.499481,26.0
14-02-16_12:18:46,-2.1942859,2.327164,10.128671,-0.30997038,-0.11345545,0.69879,11.665956,-12.165925,8.499481,26.0
14-02-16_12:18:46,-2.1942859,2.327164,10.128671,-0.30997038,-0.11345545,0.69879,11.632964,-11.992721,8.540721,26.0
14-02-16_12:18:46,-2.1942859,2.327164,10.128671,-0.56776434,0.054856323,1.1451359,11.632964,-11.992721,8.540721,26.0
14-02-16_12:18:46,-0.81163436,1.270124,10.441113,-0.56776434,0.054856323,1.1451359,11.632964,-11.992721,8.540721,26.0
14-02-16_12:18:46,-0.81163436,1.270124,10.441113,-0.56776434,0.054856323,1.1451359,11.632964,-11.992721,8.540721,30.0
14-02-16_12:18:46,-0.81163436,1.270124,10.441113,-0.56776434,0.054856323,1.1451359,11.54126,-11.037027,8.675971,30.0
14-02-16_12:18:46,-0.81163436,1.270124,10.441113,-0.56776434,0.054856323,1.1451359,11.54126,-11.037027,8.675971,34.0
14-02-16_12:18:46,-0.81163436,1.270124,10.441113,-0.25990295,0.1667091,1.2399443,11.54126,-11.037027,8.675971,34.0
14-02-16_12:18:46,-0.2741361,1.5370775,10.316615,-0.25990295,0.1667091,1.2399443,11.54126,-11.037027,8.675971,34.0
14-02-16_12:18:46,-0.2741361,1.5370775,10.316615,-0.25990295,0.1667091,1.2399443,11.54126,-11.037027,8.675971,28.0
14-02-16_12:18:46,-0.2741361,1.5370775,10.316615,-0.25990295,0.1667091,1.2399443,11.596379,-8.5194235,8.920071,28.0
14-02-16_12:18:46,-0.2741361,1.5370775,10.316615,-0.25990295,0.1667091,1.2399443,11.596379,-8.5194235,8.920071,34.0
14-02-16_12:18:47,-0.2741361,1.5370775,10.316615,-0.16879115,0.16958638,1.1779656,11.596379,-8.5194235,8.920071,34.0
14-02-16_12:18:47,0.2681506,1.8555063,9.368511,-0.16879115,0.16958638,1.1779656,11.596379,-8.5194235,8.920071,34.0
14-02-16_12:18:47,0.2681506,1.8555063,9.368511,-0.16879115,0.16958638,1.1779656,11.596379,-8.5194235,8.920071,42.0
14-02-16_12:18:47,0.2681506,1.8555063,9.368511,-0.16879115,0.16958638,1.1779656,12.213823,-4.3108816,9.308047,42.0
14-02-16_12:18:47,0.2681506,1.8555063,9.368511,-0.16879115,0.16958638,1.1779656,12.213823,-4.3108816,9.308047,40.0
14-02-16_12:18:47,0.2681506,1.8555063,9.368511,0.04000068,-0.07968551,1.086353,12.213823,-4.3108816,9.308047,40.0
14-02-16_12:18:47,-1.0307038,1.4197617,5.4264584,0.04000068,-0.07968551,1.086353,12.213823,-4.3108816,9.308047,40.0
14-02-16_12:18:47,-1.0307038,1.4197617,5.4264584,0.04000068,-0.07968551,1.086353,12.213823,-4.3108816,9.308047,44.0
14-02-16_12:18:47,-1.0307038,1.4197617,5.4264584,0.04000068,-0.07968551,1.086353,13.810633,0.8701049,9.803405,44.0
14-02-16_12:18:47,-1.0307038,1.4197617,5.4264584,0.04000068,-0.07968551,1.086353,13.810633,0.8701049,9.803405,48.0
14-02-16_12:18:47,-1.0307038,1.4197617,5.4264584,0.27968517,0.40714034,0.462108,13.810633,0.8701049,9.803405,48.0
14-02-16_12:18:47,-2.6910827,0.033518825,20.5219,0.27968517,0.40714034,0.462108,13.810633,0.8701049,9.803405,48.0
14-02-16_12:18:47,-2.6910827,0.033518825,20.5219,0.27968517,0.40714034,0.462108,13.810633,0.8701049,9.803405,50.0
14-02-16_12:18:47,-2.6910827,0.033518825,20.5219,0.27968517,0.40714034,0.462108,16.656034,6.0260043,10.27673,50.0
14-02-16_12:18:47,-2.6910827,0.033518825,20.5219,0.27968517,0.40714034,0.462108,16.656034,6.0260043,10.27673,48.0
14-02-16_12:18:47,-2.6910827,0.033518825,20.5219,-1.0168303,-1.0051683,0.58155286,16.656034,6.0260043,10.27673,48.0
14-02-16_12:18:47,0.8355764,2.086547,3.3997664,-1.0168303,-1.0051683,0.58155286,16.656034,6.0260043,10.27673,48.0
14-02-16_12:18:47,0.8355764,2.086547,3.3997664,-1.0168303,-1.0051683,0.58155286,19.963364,10.49567,10.703566,48.0
14-02-16_12:18:47,0.8355764,2.086547,3.3997664,-1.0168303,-1.0051683,0.58155286,19.963364,10.49567,10.703566,50.0
14-02-16_12:18:47,0.8355764,2.086547,3.3997664,0.20928904,-0.44270873,0.35997787,19.963364,10.49567,10.703566,50.0
14-02-16_12:18:47,-2.3546975,0.32321724,2.3953989,0.20928904,-0.44270873,0.35997787,19.963364,10.49567,10.703566,50.0
14-02-16_12:18:47,-2.3546975,0.32321724,2.3953989,0.20928904,-0.44270873,0.35997787,19.963364,10.49567,10.703566,52.0
14-02-16_12:18:47,-2.3546975,0.32321724,2.3953989,0.20928904,-0.44270873,0.35997787,22.440699,14.462095,11.262892,52.0
14-02-16_12:18:47,-2.3546975,0.32321724,2.3953989,0.20928904,-0.44270873,0.35997787,22.440699,14.462095,11.262892,54.0
14-02-16_12:18:48,-2.3546975,0.32321724,2.3953989,1.2372692,0.13572986,0.7115151,22.440699,14.462095,11.262892,54.0
14-02-16_12:18:48,5.9878983,3.8151605,19.056648,1.2372692,0.13572986,0.7115151,22.440699,14.462095,11.262892,54.0
14-02-16_12:18:48,5.9878983,3.8151605,19.056648,1.2372692,0.13572986,0.7115151,22.440699,14.462095,11.262892,64.0
14-02-16_12:18:48,5.9878983,3.8151605,19.056648,1.2372692,0.13572986,0.7115151,23.701303,17.774136,11.848998,64.0
