14-02-16_12:17:32,el X,el Y,el Z,o X,o Y,o Z,net X,net Y,net Z,30.0
14-02-16_12:17:32,el X,el Y,el Z,o X,o Y,o Z,12.832552,0.0,10.832673,30.0
14-02-16_12:17:32,el X,el Y,el Z,o X,o Y,o Z,12.832552,0.0,10.832673,34.0
14-02-16_12:17:32,el X,el Y,el Z,-0.25535268,-0.025797509,-0.21564813,12.832552,0.0,10.832673,34.0
14-02-16_12:17:32,-1.5334862,3.9468415,9.822212,-0.25535268,-0.025797509,-0.21564813,12.832552,0.0,10.832673,34.0
14-02-16_12:17:32,-1.5334862,3.9468415,9.822212,-0.25535268,-0.025797509,-0.21564813,12.840799,0.041239113,10.8656645,34.0
14-02-16_12:17:32,-1.5334862,3.9468415,9.822212,-0.25535268,-0.025797509,-0.21564813,12.840799,0.041239113,10.8656645,36.0
14-02-16_12:17:32,-1.5334862,3.9468415,9.822212,-0.17865363,0.29910815,0.37557364,12.840799,0.041239113,10.8656645,36.0
14-02-16_12:17:32,-1.9033904,5.153519,11.170148,-0.17865363,0.29910815,0.37557364,12.840799,0.041239113,10.8656645,36.0
14-02-16_12:17:32,-1.9033904,5.153519,11.170148,-0.17865363,0.29910815,0.37557364,12.840799,0.041239113,10.8656645,34.0
14-02-16_12:17:32,-1.9033904,5.153519,11.170148,-0.17865363,0.29910815,0.37557364,12.975071,0.29195777,10.957368,34.0
14-02-16_12:17:32,-1.9033904,5.153519,11.170148,0.051443484,0.5004431,0.36172518,12.975071,0.29195777,10.957368,34.0
14-02-16_12:17:32,-1.3599066,3.417723,9.161413,0.051443484,0.5004431,0.36172518,12.975071,0.29195777,10.957368,34.0
14-02-16_12:17:32,-1.3599066,3.417723,9.161413,0.051443484,0.5004431,0.36172518,13.679058,0.94774634,11.034215,34.0
14-02-16_12:17:32,-1.3599066,3.417723,9.161413,0.051443484,0.5004431,0.36172518,13.679058,0.94774634,11.034215,40.0
14-02-16_12:17:32,-1.3599066,3.417723,9.161413,0.028497688,0.07314798,0.341405,13.679058,0.94774634,11.034215,40.0
14-02-16_12:17:32,0.46806642,2.3307555,10.518925,0.028497688,0.07314798,0.341405,13.679058,0.94774634,11.034215,40.0
14-02-16_12:17:32,0.46806642,2.3307555,10.518925,0.028497688,0.07314798,0.341405,13.679058,0.94774634,11.034215,42.0
14-02-16_12:17:32,0.46806642,2.3307555,10.518925,0.028497688,0.07314798,0.341405,15.37355,1.9311038,10.998028,42.0
14-02-16_12:17:32,0.46806642,2.3307555,10.518925,0.028497688,0.07314798,0.341405,15.37355,1.9311038,10.998028,44.0
14-02-16_12:17:33,0.46806642,2.3307555,10.518925,-0.6479452,-0.8419142,-0.42984644,15.37355,1.9311038,10.998028,44.0
14-02-16_12:17:33,-2.7281928,5.711368,8.058883,-0.6479452,-0.8419142,-0.42984644,15.37355,1.9311038,10.998028,44.0
14-02-16_12:17:33,-2.7281928,5.711368,8.058883,-0.6479452,-0.8419142,-0.42984644,15.37355,1.9311038,10.998028,38.0
14-02-16_12:17:33,-2.7281928,5.711368,8.058883,-0.6479452,-0.8419142,-0.42984644,17.560314,3.1071792,10.931516,38.0
14-02-16_12:17:33,-2.7281928,5.711368,8.058883,-0.6479452,-0.8419142,-0.42984644,17.560314,3.1071792,10.931516,30.0
14-02-16_12:17:33,-2.7281928,5.711368,8.058883,0.5600646,-0.3891768,-0.28603575,17.560314,3.1071792,10.931516,30.0
14-02-16_12:17:33,-2.9735985,2.0901382,11.079168,0.5600646,-0.3891768,-0.28603575,17.560314,3.1071792,10.931516,30.0
14-02-16_12:17:33,-2.9735985,2.0901382,11.079168,0.5600646,-0.3891768,-0.28603575,17.560314,3.1071792,10.931516,20.0
14-02-16_12:17:33,-2.9735985,2.0901382,11.079168,0.5600646,-0.3891768,-0.28603575,18.864723,4.563118,11.177105,20.0
14-02-16_12:17:33,-2.9735985,2.0901382,11.079168,0.5600646,-0.3891768,-0.28603575,18.864723,4.563118,11.177105,26.0
14-02-16_12:17:33,-2.9735985,2.0901382,11.079168,-0.5926378,1.110941,0.034740403,18.864723,4.563118,11.177105,26.0
14-02-16_12:17:33,5.699397,-0.6619968,15.0822735,-0.5926378,1.110941,0.034740403,18.864723,4.563118,11.177105,26.0
14-02-16_12:17:33,5.699397,-0.6619968,15.0822735,-0.5926378,1.110941,0.034740403,18.864723,4.563118,11.177105,30.0
14-02-16_12:17:33,5.699397,-0.6619968,15.0822735,-0.5926378,1.110941,0.034740403,18.879166,5.83151,11.770569,30.0
14-02-16_12:17:33,5.699397,-0.6619968,15.0822735,-0.5926378,1.110941,0.034740403,18.879166,5.83151,11.770569,34.0
