TimeStamp,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,Light,Measured Displacement,Total Rotation,Compass Bearing,Compass Direction,Compass Cardinal Direction,Ground Truth Cardinal Direction
06-03-16_21:28:16:814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,null,,,
06-03-16_21:28:16:888,1.089734,2.675237,9.287886,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,null,,,
06-03-16_21:28:16:889,1.092129,2.675237,9.299861,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,null,,,
06-03-16_21:28:16:890,1.092129,2.6417067,9.14179,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,null,,,
06-03-16_21:28:17:042,1.092129,2.6417067,9.14179,-0.08522116,0.066046394,0.022370555,0.0,0.0,0.0,2.0,0.0,0.0,null,,,
06-03-16_21:28:17:044,0.977168,2.6225464,9.18011,-0.08522116,0.066046394,0.022370555,0.0,0.0,0.0,2.0,0.0,0.0,null,,,
06-03-16_21:28:17:044,1.0011182,2.574646,9.263936,-0.08522116,0.066046394,0.022370555,0.0,0.0,0.0,2.0,0.0,0.0,null,,,
06-03-16_21:28:17:045,1.0011182,2.574646,9.263936,-0.08522116,0.066046394,0.022370555,0.0,0.0,0.0,3.0,0.0,0.0,null,,,
06-03-16_21:28:17:046,0.974773,2.560276,9.223221,-0.08522116,0.066046394,0.022370555,0.0,0.0,0.0,3.0,0.0,0.0,null,,,
06-03-16_21:28:17:047,1.1232642,2.5411158,9.393267,-0.08522116,0.066046394,0.022370555,0.0,0.0,0.0,3.0,0.0,0.0,null,,,
06-03-16_21:28:17:104,1.1232642,2.5411158,9.393267,-0.10652645,0.07882957,-0.008522116,0.0,0.0,0.0,3.0,0.0,0.0,null,,,
06-03-16_21:28:17:105,0.99393314,2.5195606,9.287886,-0.10652645,0.07882957,-0.008522116,0.0,0.0,0.0,3.0,0.0,0.0,null,,,
06-03-16_21:28:17:106,1.0035132,2.3998096,9.381292,-0.10652645,0.07882957,-0.008522116,0.0,0.0,0.0,3.0,0.0,0.0,null,,,
06-03-16_21:28:17:183,1.0418335,2.2824538,9.608819,-0.10652645,0.07882957,-0.008522116,0.0,0.0,0.0,3.0,0.0,0.0,null,,,
06-03-16_21:28:17:184,0.9196875,2.2537134,9.697434,-0.10652645,0.07882957,-0.008522116,0.0,0.0,0.0,3.0,0.0,0.0,null,,,
06-03-16_21:28:17:214,0.9196875,2.2537134,9.697434,-0.10652645,0.07882957,-0.008522116,0.0,0.0,0.0,3.0,0.0,0.0,null,,,
06-03-16_21:28:17:263,0.9196875,2.2537134,9.697434,-0.10652645,0.07882957,-0.008522116,8.6875,34.125,-2.5625,3.0,0.0,0.0,345.195,N,N,
06-03-16_21:28:17:265,0.9196875,2.2537134,9.697434,0.066046394,0.0031957934,0.017044231,8.6875,34.125,-2.5625,3.0,0.0,0.0,345.195,N,N,
06-03-16_21:28:17:267,0.8813672,2.3662794,9.539363,0.066046394,0.0031957934,0.017044231,8.6875,34.125,-2.5625,3.0,0.0,0.0,345.165,N,N,
06-03-16_21:28:17:269,0.9364527,2.4860303,9.204061,0.066046394,0.0031957934,0.017044231,8.6875,34.125,-2.5625,3.0,0.0,0.0,345.071,N,N,
06-03-16_21:28:17:342,1.0274634,2.5387208,8.993299,0.066046394,0.0031957934,0.017044231,8.6875,34.125,-2.5625,3.0,0.0,0.0,344.991,N,N,
06-03-16_21:28:17:343,1.2286451,2.5914114,9.108259,0.066046394,0.0031957934,0.017044231,8.6875,34.125,-2.5625,3.0,0.0,0.0,344.918,N,N,
06-03-16_21:28:17:421,1.2286451,2.5914114,9.108259,0.066046394,0.0031957934,0.017044231,9.0625,32.6875,-2.5625,3.0,0.0,0.0,343.669,N,N,
06-03-16_21:28:17:422,1.2286451,2.5914114,9.108259,-0.054328486,0.022370555,-0.041545313,9.0625,32.6875,-2.5625,3.0,0.0,0.0,343.669,N,N,
06-03-16_21:28:17:423,1.0322535,2.562671,9.230406,-0.054328486,0.022370555,-0.041545313,9.0625,32.6875,-2.5625,3.0,0.0,0.0,343.771,N,N,
06-03-16_21:28:17:424,0.6730005,2.435735,9.5561285,-0.054328486,0.022370555,-0.041545313,9.0625,32.6875,-2.5625,3.0,0.0,0.0,343.999,N,N,
06-03-16_21:28:17:501,0.73527104,2.339934,9.467513,-0.054328486,0.022370555,-0.041545313,9.0625,32.6875,-2.5625,3.0,0.0,0.0,343.990,N,N,
06-03-16_21:28:17:502,1.0154883,2.320774,9.515413,-0.054328486,0.022370555,-0.041545313,9.0625,32.6875,-2.5625,3.0,0.0,0.0,343.890,N,N,
06-03-16_21:28:17:579,1.0154883,2.320774,9.515413,-0.054328486,0.022370555,-0.041545313,8.3125,33.4375,-2.125,3.0,0.0,0.0,345.480,N,N,
06-03-16_21:28:17:581,1.0154883,2.320774,9.515413,0.024501082,0.06178534,-0.07669904,8.3125,33.4375,-2.125,3.0,0.0,0.0,345.480,N,N,
06-03-16_21:28:17:583,0.91010743,2.3806496,9.438772,0.024501082,0.06178534,-0.07669904,8.3125,33.4375,-2.125,3.0,0.0,0.0,345.487,N,N,
06-03-16_21:28:17:584,0.75203615,2.411785,9.558523,0.024501082,0.06178534,-0.07669904,8.3125,33.4375,-2.125,3.0,0.0,0.0,345.541,N,N,
06-03-16_21:28:17:615,0.75203615,2.411785,9.558523,0.024501082,0.06178534,-0.07669904,8.3125,33.4375,-2.125,3.0,0.0,0.0,345.541,N,N,
06-03-16_21:28:17:658,0.5005591,2.4069948,9.570498,0.024501082,0.06178534,-0.07669904,8.3125,33.4375,-2.125,3.0,0.0,0.0,345.633,N,N,
06-03-16_21:28:17:662,0.4143384,2.4501052,8.8879175,0.024501082,0.06178534,-0.07669904,8.3125,33.4375,-2.125,3.0,0.0,0.0,345.589,N,N,
06-03-16_21:28:17:738,0.4143384,2.4501052,8.8879175,0.024501082,0.06178534,-0.07669904,8.6875,33.4375,0.5625,3.0,0.0,0.0,344.862,N,N,
06-03-16_21:28:17:739,0.4143384,2.4501052,8.8879175,-0.10972224,0.34940675,-0.05752428,8.6875,33.4375,0.5625,3.0,0.0,0.0,344.862,N,N,
06-03-16_21:28:17:741,1.0514137,2.5027955,8.636441,-0.10972224,0.34940675,-0.05752428,8.6875,33.4375,0.5625,3.0,0.0,0.0,344.891,N,N,
06-03-16_21:28:17:742,0.8669971,2.562671,9.515413,-0.10972224,0.34940675,-0.05752428,8.6875,33.4375,0.5625,3.0,0.0,0.0,344.932,N,N,
06-03-16_21:28:17:815,0.8669971,2.562671,9.515413,-0.10972224,0.34940675,-0.05752428,8.6875,33.4375,0.5625,3.0,0.0,0.0,344.932,N,N,
06-03-16_21:28:17:819,0.22513184,2.3902297,10.111773,-0.10972224,0.34940675,-0.05752428,8.6875,33.4375,0.5625,3.0,0.0,0.0,345.000,N,N,
06-03-16_21:28:17:822,0.6730005,2.4045997,9.874666,-0.10972224,0.34940675,-0.05752428,8.6875,33.4375,0.5625,3.0,0.0,0.0,345.007,N,N,
06-03-16_21:28:17:896,0.6730005,2.4045997,9.874666,-0.10972224,0.34940675,-0.05752428,10.8125,33.0625,0.125,3.0,0.0,0.0,341.344,N,N,
06-03-16_21:28:17:898,0.6730005,2.4045997,9.874666,-0.008522116,-0.0777643,0.094808534,10.8125,33.0625,0.125,3.0,0.0,0.0,341.344,N,N,
