TimeStamp,gyroRotateX,gyroRotateY,gyroRotateZ
08-03-16_16:35:09:970,0.0,0.0,0.0
08-03-16_16:35:10:043,-7.8637537E-4,-4.9148465E-4,-2.9489078E-4
08-03-16_16:35:10:201,-3.5744338E-4,5.361651E-4,3.5744338E-4
08-03-16_16:35:10:359,0.0018497687,-8.0424725E-5,-8.0424725E-5
08-03-16_16:35:10:517,0.0020106104,-0.0047450406,-1.6084884E-4
08-03-16_16:35:10:675,0.0013404051,0.005540341,-0.0013404051
08-03-16_16:35:10:834,0.005227543,-0.0057905093,0.0040211873
08-03-16_16:35:10:993,0.0035742524,-0.0071485047,-0.015547998
08-03-16_16:35:11:151,0.0012060924,-0.03722805,-8.8446774E-4
08-03-16_16:35:11:309,0.004325723,-0.04414003,0.262898
08-03-16_16:35:11:469,0.07855008,0.061155725,0.3370255
08-03-16_16:35:11:644,0.0073624644,0.028649593,0.1690166
08-03-16_16:35:11:789,-0.02278317,-0.010274761,0.019745411
08-03-16_16:35:11:941,-0.025733028,-0.0036187072,-6.433257E-4
08-03-16_16:35:12:099,4.468035E-4,0.0018765747,-0.0026808209
08-03-16_16:35:12:258,-0.005307982,-0.002412719,0.0050667105
08-03-16_16:35:12:417,0.0012510364,-4.4679872E-4,0.008578535
08-03-16_16:35:12:575,-0.005710019,5.629595E-4,0.010696231
08-03-16_16:35:12:733,-0.0012867921,-0.0027344336,0.003136556
08-03-16_16:35:12:891,-0.004634339,-0.028697256,-0.12298824
08-03-16_16:35:13:049,0.016843818,0.0037604808,-0.38497922
08-03-16_16:35:13:206,-0.069606885,0.015892388,-0.18218537
08-03-16_16:35:13:364,-8.8465924E-4,-0.009087863,-0.0024931305
08-03-16_16:35:13:523,-0.002948791,0.014654598,0.003931721
08-03-16_16:35:13:683,-0.002654008,-0.0025735835,0.002734433
08-03-16_16:35:13:840,8.846708E-4,-0.00313656,-8.0424617E-4
08-03-16_16:35:13:999,-0.0069700703,-0.0025914365,0.0033063157
08-03-16_16:35:14:157,-0.01029408,-0.00514704,-0.00611211
08-03-16_16:35:14:314,0.005808244,-0.013582355,-1.7871521E-4
08-03-16_16:35:14:473,0.016952759,-0.018238276,-0.073033445
08-03-16_16:35:14:631,-0.011368982,2.643949E-4,-0.28369573
