14-02-16_12:18:19,el X,el Y,el Z,o X,o Y,o Z,net X,net Y,net Z,0.0
14-02-16_12:18:19,el X,el Y,el Z,o X,o Y,o Z,7.499543,-20.832064,12.3325815,0.0
14-02-16_12:18:19,el X,el Y,el Z,o X,o Y,o Z,7.499543,-20.832064,12.3325815,2.0
14-02-16_12:18:19,el X,el Y,el Z,0.03843554,-0.16049647,0.117057115,7.499543,-20.832064,12.3325815,2.0
14-02-16_12:18:19,0.027533319,2.349909,8.856153,0.03843554,-0.16049647,0.117057115,7.499543,-20.832064,12.3325815,2.0
14-02-16_12:18:20,0.027533319,2.349909,8.856153,0.03843554,-0.16049647,0.117057115,7.4335604,-20.790825,12.406813,2.0
14-02-16_12:18:20,0.027533319,2.349909,8.856153,0.15881042,-0.008163654,0.3120005,7.4335604,-20.790825,12.406813,2.0
14-02-16_12:18:20,-0.06584055,1.543063,14.979323,0.15881042,-0.008163654,0.3120005,7.4335604,-20.790825,12.406813,2.0
14-02-16_12:18:20,-0.06584055,1.543063,14.979323,0.15881042,-0.008163654,0.3120005,7.4335604,-20.790825,12.406813,0.0
14-02-16_12:18:20,-0.06584055,1.543063,14.979323,0.15881042,-0.008163654,0.3120005,7.167675,-20.672071,12.707996,0.0
14-02-16_12:18:20,-0.06584055,1.543063,14.979323,0.15881042,-0.008163654,0.3120005,7.167675,-20.672071,12.707996,2.0
14-02-16_12:18:20,-0.06584055,1.543063,14.979323,-0.21083634,0.020598486,0.0062696137,7.167675,-20.672071,12.707996,2.0
14-02-16_12:18:20,-0.29328972,2.420538,8.706514,-0.21083634,0.020598486,0.0062696137,7.167675,-20.672071,12.707996,2.0
14-02-16_12:18:20,-0.29328972,2.420538,8.706514,-0.21083634,0.020598486,0.0062696137,7.167675,-20.672071,12.707996,0.0
14-02-16_12:18:20,-0.29328972,2.420538,8.706514,-0.21083634,0.020598486,0.0062696137,6.6280127,-20.506813,13.297134,0.0
14-02-16_12:18:20,-0.29328972,2.420538,8.706514,0.069873355,-0.0893922,-0.12279116,6.6280127,-20.506813,13.297134,0.0
14-02-16_12:18:20,-0.2861071,2.256535,8.334216,0.069873355,-0.0893922,-0.12279116,6.6280127,-20.506813,13.297134,0.0
14-02-16_12:18:20,-0.2861071,2.256535,8.334216,0.069873355,-0.0893922,-0.12279116,5.9654546,-20.302574,14.022643,0.0
14-02-16_12:18:20,-0.2861071,2.256535,8.334216,0.35429895,-0.032933183,-0.55209273,5.9654546,-20.302574,14.022643,0.0
14-02-16_12:18:20,-0.5781997,2.754529,11.829751,0.35429895,-0.032933183,-0.55209273,5.9654546,-20.302574,14.022643,0.0
14-02-16_12:18:20,-0.5781997,2.754529,11.829751,0.35429895,-0.032933183,-0.55209273,5.474336,-20.318098,14.826366,0.0
14-02-16_12:18:20,-0.5781997,2.754529,11.829751,-0.6491801,-0.1788744,-0.19842494,5.474336,-20.318098,14.826366,0.0
14-02-16_12:18:20,0.23942018,2.3558946,9.700109,-0.6491801,-0.1788744,-0.19842494,5.474336,-20.318098,14.826366,0.0
14-02-16_12:18:21,0.23942018,2.3558946,9.700109,-0.6491801,-0.1788744,-0.19842494,5.319026,-20.889135,15.838253,0.0
14-02-16_12:18:21,0.23942018,2.3558946,9.700109,0.6141396,0.25597265,0.5750846,5.319026,-20.889135,15.838253,0.0
14-02-16_12:18:21,0.6548142,1.5071499,9.01417,0.6141396,0.25597265,0.5750846,5.319026,-20.889135,15.838253,0.0
14-02-16_12:18:21,0.6548142,1.5071499,9.01417,0.6141396,0.25597265,0.5750846,5.495054,-21.802137,16.947191,0.0
14-02-16_12:18:21,0.6548142,1.5071499,9.01417,-0.29879203,-0.071063526,0.037126064,5.495054,-21.802137,16.947191,0.0
14-02-16_12:18:21,0.29568392,0.90381116,13.514071,-0.29879203,-0.071063526,0.037126064,5.495054,-21.802137,16.947191,0.0
14-02-16_12:18:21,0.29568392,0.90381116,13.514071,-0.29879203,-0.071063526,0.037126064,5.777983,-22.714222,18.02317,0.0
14-02-16_12:18:21,0.29568392,0.90381116,13.514071,-0.6077187,-0.19996051,-0.19936264,5.777983,-22.714222,18.02317,0.0
14-02-16_12:18:21,-1.0271125,1.8770541,8.553286,-0.6077187,-0.19996051,-0.19936264,5.777983,-22.714222,18.02317,0.0
14-02-16_12:18:21,-1.0271125,1.8770541,8.553286,-0.6077187,-0.19996051,-0.19936264,5.8085256,-23.321589,19.05186,0.0
14-02-16_12:18:21,-1.0271125,1.8770541,8.553286,0.39463758,-0.031498272,-0.13003257,5.8085256,-23.321589,19.05186,0.0
14-02-16_12:18:21,-0.18674773,1.685518,11.179725,0.39463758,-0.031498272,-0.13003257,5.8085256,-23.321589,19.05186,0.0
14-02-16_12:18:21,-0.18674773,1.685518,11.179725,0.39463758,-0.031498272,-0.13003257,5.2753487,-23.35802,19.99454,0.0
14-02-16_12:18:21,-0.18674773,1.685518,11.179725,-0.33719906,0.15279247,-0.044811413,5.2753487,-23.35802,19.99454,0.0
14-02-16_12:18:21,1.7896658,1.3383588,14.158112,-0.33719906,0.15279247,-0.044811413,5.2753487,-23.35802,19.99454,0.0
14-02-16_12:18:22,1.7896658,1.3383588,14.158112,-0.33719906,0.15279247,-0.044811413,4.2650743,-23.114573,20.808498,0.0
14-02-16_12:18:22,1.7896658,1.3383588,14.158112,0.424465,0.4009991,0.38129437,4.2650743,-23.114573,20.808498,0.0
14-02-16_12:18:22,-0.21428105,1.851915,5.4551888,0.424465,0.4009991,0.38129437,4.2650743,-23.114573,20.808498,0.0
14-02-16_12:18:22,-0.21428105,1.851915,5.4551888,0.424465,0.4009991,0.38129437,3.2764225,-22.868124,21.25964,0.0
14-02-16_12:18:22,-0.21428105,1.851915,5.4551888,0.2337398,-0.06973487,0.24500602,3.2764225,-22.868124,21.25964,0.0
14-02-16_12:18:22,-0.15442601,0.44891283,16.063896,0.2337398,-0.06973487,0.24500602,3.2764225,-22.868124,21.25964,0.0
14-02-16_12:18:22,-0.15442601,0.44891283,16.063896,0.2337398,-0.06973487,0.24500602,3.2764225,-22.868124,21.25964,2.0
14-02-16_12:18:22,-0.15442601,0.44891283,16.063896,0.2337398,-0.06973487,0.24500602,2.6670153,-22.553558,21.233747,2.0
14-02-16_12:18:22,-0.15442601,0.44891283,16.063896,0.2337398,-0.06973487,0.24500602,2.6670153,-22.553558,21.233747,0.0
14-02-16_12:18:22,-0.15442601,0.44891283,16.063896,-0.7750656,-0.4276637,-0.33023676,2.6670153,-22.553558,21.233747,0.0
14-02-16_12:18:22,-0.59376204,2.3092074,8.146272,-0.7750656,-0.4276637,-0.33023676,2.6670153,-22.553558,21.233747,0.0
14-02-16_12:18:22,-0.59376204,2.3092074,8.146272,-0.7750656,-0.4276637,-0.33023676,2.3511224,-22.112028,20.93567,0.0
14-02-16_12:18:22,-0.59376204,2.3092074,8.146272,0.17301972,0.22853917,0.0031909996,2.3511224,-22.112028,20.93567,0.0
14-02-16_12:18:22,-0.37349546,0.94810385,8.157045,0.17301972,0.22853917,0.0031909996,2.3511224,-22.112028,20.93567,0.0
14-02-16_12:18:22,-0.37349546,0.94810385,8.157045,0.17301972,0.22853917,0.0031909996,2.0317483,-21.251877,20.459383,0.0
14-02-16_12:18:22,-0.37349546,0.94810385,8.157045,0.043035883,0.12526497,-1.072693,2.0317483,-21.251877,20.459383,0.0
14-02-16_12:18:22,-3.6260185,1.2270284,14.917073,0.043035883,0.12526497,-1.072693,2.0317483,-21.251877,20.459383,0.0
14-02-16_12:18:23,-3.6260185,1.2270284,14.917073,0.043035883,0.12526497,-1.072693,2.1038475,-20.180624,19.621119,0.0
14-02-16_12:18:23,-3.6260185,1.2270284,14.917073,-0.55883855,0.04643541,0.42506874,2.1038475,-20.180624,19.621119,0.0
14-02-16_12:18:23,-1.5179238,1.6531962,6.6510925,-0.55883855,0.04643541,0.42506874,2.1038475,-20.180624,19.621119,0.0
14-02-16_12:18:23,-1.5179238,1.6531962,6.6510925,-0.55883855,0.04643541,0.42506874,3.222908,-19.327833,18.256308,0.0
14-02-16_12:18:23,-1.5179238,1.6531962,6.6510925,0.90590006,0.11035127,0.9630273,3.222908,-19.327833,18.256308,0.0
14-02-16_12:18:23,0.94331545,-0.62608373,11.611878,0.90590006,0.11035127,0.9630273,3.222908,-19.327833,18.256308,0.0
14-02-16_12:18:23,0.94331545,-0.62608373,11.611878,0.90590006,0.11035127,0.9630273,5.2472944,-18.41004,16.547293,0.0
14-02-16_12:18:23,0.94331545,-0.62608373,11.611878,-0.7463442,-0.14206633,-0.2918252,5.2472944,-18.41004,16.547293,0.0
14-02-16_12:18:23,-0.94092125,1.6759412,8.802282,-0.7463442,-0.14206633,-0.2918252,5.2472944,-18.41004,16.547293,0.0
14-02-16_12:18:23,-0.94092125,1.6759412,8.802282,-0.7463442,-0.14206633,-0.2918252,7.443524,-17.444939,15.028704,0.0
14-02-16_12:18:23,-0.94092125,1.6759412,8.802282,-0.1636446,-0.46164566,-0.024443824,7.443524,-17.444939,15.028704,0.0
14-02-16_12:18:23,-0.9768343,0.91458505,9.065644,-0.1636446,-0.46164566,-0.024443824,7.443524,-17.444939,15.028704,0.0
14-02-16_12:18:23,-0.9768343,0.91458505,9.065644,-0.1636446,-0.46164566,-0.024443824,9.113854,-16.351374,14.008899,0.0
14-02-16_12:18:23,-0.9768343,0.91458505,9.065644,0.821725,0.2403636,-1.0641419,9.113854,-16.351374,14.008899,0.0
14-02-16_12:18:23,-1.2138603,1.5167267,14.263456,0.821725,0.2403636,-1.0641419,9.113854,-16.351374,14.008899,0.0
14-02-16_12:18:24,-1.2138603,1.5167267,14.263456,0.821725,0.2403636,-1.0641419,10.28484,-15.066527,13.396201,0.0
14-02-16_12:18:24,-1.2138603,1.5167267,14.263456,-0.56632173,0.15835714,-0.63909024,10.28484,-15.066527,13.396201,0.0
14-02-16_12:18:24,-1.6208745,1.5837644,9.922769,-0.56632173,0.15835714,-0.63909024,10.28484,-15.066527,13.396201,0.0
14-02-16_12:18:24,-1.6208745,1.5837644,9.922769,-0.56632173,0.15835714,-0.63909024,11.455658,-14.307578,13.132213,0.0
14-02-16_12:18:24,-1.6208745,1.5837644,9.922769,1.1231877,0.40123743,0.47517636,11.455658,-14.307578,13.132213,0.0
14-02-16_12:18:24,-1.1073183,1.9548657,5.0601454,1.1231877,0.40123743,0.47517636,11.455658,-14.307578,13.132213,0.0
14-02-16_12:18:24,-1.1073183,1.9548657,5.0601454,1.1231877,0.40123743,0.47517636,13.227653,-14.378924,13.11177,0.0
14-02-16_12:18:24,-1.1073183,1.9548657,5.0601454,1.1231877,0.40123743,0.47517636,13.227653,-14.378924,13.11177,2.0
14-02-16_12:18:24,-1.1073183,1.9548657,5.0601454,-0.18282653,-0.43499514,0.18329392,13.227653,-14.378924,13.11177,2.0
14-02-16_12:18:24,1.4137762,0.30645782,17.125725,-0.18282653,-0.43499514,0.18329392,13.227653,-14.378924,13.11177,2.0
14-02-16_12:18:24,1.4137762,0.30645782,17.125725,-0.18282653,-0.43499514,0.18329392,13.227653,-14.378924,13.11177,0.0
14-02-16_12:18:24,1.4137762,0.30645782,17.125725,-0.18282653,-0.43499514,0.18329392,15.917473,-15.45952,13.343654,0.0
14-02-16_12:18:24,1.4137762,0.30645782,17.125725,-0.98817843,-0.08449198,-0.11283147,15.917473,-15.45952,13.343654,0.0
14-02-16_12:18:24,-1.8890251,3.8642416,8.445546,-0.98817843,-0.08449198,-0.11283147,15.917473,-15.45952,13.343654,0.0
14-02-16_12:18:24,-1.8890251,3.8642416,8.445546,-0.98817843,-0.08449198,-0.11283147,18.694614,-17.2371,13.856338,0.0
14-02-16_12:18:24,-1.8890251,3.8642416,8.445546,0.60865295,-0.44561663,-0.5666341,18.694614,-17.2371,13.856338,0.0
14-02-16_12:18:24,-1.6220716,0.48961425,7.801506,0.60865295,-0.44561663,-0.5666341,18.694614,-17.2371,13.856338,0.0
14-02-16_12:18:25,-1.6220716,0.48961425,7.801506,0.60865295,-0.44561663,-0.5666341,20.12242,-18.43481,14.335658,0.0
14-02-16_12:18:25,-1.6220716,0.48961425,7.801506,0.15591556,0.07316715,-0.5847436,20.12242,-18.43481,14.335658,0.0
14-02-16_12:18:25,-2.517503,0.7386112,17.836803,0.15591556,0.07316715,-0.5847436,20.12242,-18.43481,14.335658,0.0
14-02-16_12:18:25,-2.517503,0.7386112,17.836803,0.15591556,0.07316715,-0.5847436,19.938578,-19.110237,14.6051855,0.0
