14-02-16_12:16:10,el X,el Y,el Z,o X,o Y,o Z,net X,net Y,net Z,20.0
14-02-16_12:16:10,el X,el Y,el Z,o X,o Y,o Z,15.499056,6.66626,10.832673,20.0
14-02-16_12:16:10,el X,el Y,el Z,o X,o Y,o Z,15.499056,6.66626,10.832673,58.0
14-02-16_12:16:10,el X,el Y,el Z,-0.002504703,-0.039577503,-0.1363336,15.499056,6.66626,10.832673,58.0
14-02-16_12:16:10,-0.2873042,1.922544,10.412383,-0.002504703,-0.039577503,-0.1363336,15.499056,6.66626,10.832673,58.0
14-02-16_12:16:10,-0.2873042,1.922544,10.412383,-0.002504703,-0.039577503,-0.1363336,15.499056,6.66626,10.832673,62.0
14-02-16_12:16:11,-0.2873042,1.922544,10.412383,-0.002504703,-0.039577503,-0.1363336,15.523799,6.66626,10.849169,62.0
14-02-16_12:16:11,-0.2873042,1.922544,10.412383,-0.002504703,-0.039577503,-0.1363336,15.523799,6.66626,10.849169,58.0
14-02-16_12:16:11,-0.2873042,1.922544,10.412383,0.0017563547,-0.005489041,-0.040459808,15.523799,6.66626,10.849169,58.0
14-02-16_12:16:11,-0.50038815,2.0338743,10.487801,0.0017563547,-0.005489041,-0.040459808,15.523799,6.66626,10.849169,58.0
14-02-16_12:16:11,-0.50038815,2.0338743,10.487801,0.0017563547,-0.005489041,-0.040459808,15.604948,6.66626,10.928012,58.0
14-02-16_12:16:11,-0.50038815,2.0338743,10.487801,-0.009961554,-0.005489041,-0.04259034,15.604948,6.66626,10.928012,58.0
14-02-16_12:16:11,-0.7146692,2.0494366,10.382456,-0.009961554,-0.005489041,-0.04259034,15.604948,6.66626,10.928012,58.0
14-02-16_12:16:11,-0.7146692,2.0494366,10.382456,-0.009961554,-0.005489041,-0.04259034,15.604948,6.66626,10.928012,54.0
14-02-16_12:16:11,-0.7146692,2.0494366,10.382456,-0.009961554,-0.005489041,-0.04259034,15.729963,6.66626,11.07876,54.0
14-02-16_12:16:11,-0.7146692,2.0494366,10.382456,-0.009961554,-0.005489041,-0.04259034,15.729963,6.66626,11.07876,56.0
14-02-16_12:16:11,-0.7146692,2.0494366,10.382456,0.01599175,0.051115114,-0.028664934,15.729963,6.66626,11.07876,56.0
14-02-16_12:16:11,-1.2413936,2.6551697,10.432734,0.01599175,0.051115114,-0.028664934,15.729963,6.66626,11.07876,56.0
